str,peak,fin,amplitude,rippleDetection_rippleTrlDef
1686918,1687918,1688918,2.12425326004015,0
1689787,1690787,1691787,2.61229037053115,1
1693798,1694798,1695798,2.61741409286909,0
1694983,1695983,1696983,3.66609168986556,0
1708352,1709352,1710352,3.99271403214927,1
1708780,1709780,1710780,2.62033815688326,0
1711678,1712678,1713678,3.18959280722033,0
1712167,1713167,1714167,2.34078197047468,0
1720413,1721413,1722413,2.13488748609535,0
1722612,1723612,1724612,2.63861472823136,0
1735816,1736816,1737816,2.49023527485541,0
1735891,1736891,1737891,3.52394607909198,0
1750388,1751388,1752388,3.33150149211557,1
1754376,1755376,1756376,3.17525574766689,1
1754923,1755923,1756923,3.80006337430576,1
1758310,1759310,1760310,3.50992804589528,1
1766201,1767201,1768201,2.41083574647537,0
1776287,1777287,1778287,2.38886709271329,1
1789192,1790192,1791192,3.27586143066165,1
1790928,1791928,1792928,2.68386437310795,1
1791872,1792872,1793872,2.3667269709314,1
1792047,1793047,1794047,4.1648215731929,1
1816543,1817543,1818543,3.21904513434192,1
1831651,1832651,1833651,3.2077278813279,1
1854279,1855279,1856279,3.70231424560819,1
1860790,1861790,1862790,2.01674536322886,1
1863874,1864874,1865874,2.95117557002282,1
1884260,1885260,1886260,4.09957829691654,1
1906844,1907844,1908844,3.57827717248779,1
1926986,1927986,1928986,2.76485131606039,0
1934082,1935082,1936082,3.7861835080721,0
1945399,1946399,1947399,1.88322045159338,1
1948355,1949355,1950355,2.46425682008941,1
1951488,1952488,1953488,2.33491293885935,0
1951718,1952718,1953718,2.13582318841832,1
1957520,1958520,1959520,2.96832549819881,0
1978364,1979364,1980364,3.12396969152032,0
1978662,1979662,1980662,4.18879356218045,1
1982302,1983302,1984302,2.78859855014371,1
1982509,1983509,1984509,3.03590182966692,1
1984481,1985481,1986481,2.58285463744054,1
1994883,1995883,1996883,2.20804734997228,1
1998990,1999990,2000990,2.37151629011813,1
2032478,2033478,2034478,2.3899658417783,1
2032667,2033667,2034667,4.02517672885737,1
2047339,2048339,2049339,3.7092105755183,0
2061786,2062786,2063786,3.13338436484133,1
2062973,2063973,2064973,3.78008464759806,1
2111980,2112980,2113980,2.61239625429618,1
2120542,2121542,2122542,2.59101684885406,1
2121038,2122038,2123038,2.26790818856454,0
2138650,2139650,2140650,2.95746899573399,1
2143012,2144012,2145012,3.7664466395244,1
2143179,2144179,2145179,2.07624840995977,0
2145984,2146984,2147984,3.66781079663895,1
2160902,2161902,2162902,3.14662599533012,0
2161090,2162090,2163090,3.29543847710739,0
2172584,2173584,2174584,2.00616667430114,1
2213468,2214468,2215468,3.50137393572245,1
2226804,2227804,2228804,2.31554022803563,1
2234933,2235933,2236933,2.75092659273553,1
2302114,2303114,2304114,3.66709749617627,1
2331697,2332697,2333697,2.61235639733746,0
2336833,2337833,2338833,3.75239163876419,0
2337688,2338688,2339688,3.49922280572443,1
2345376,2346376,2347376,3.51234874003933,0
2345416,2346416,2347416,2.88127645214303,0
2364252,2365252,2366252,3.46279215326121,0
2366831,2367831,2368831,3.18037730641949,1
2367056,2368056,2369056,2.95862600694127,1
2400207,2401207,2402207,2.66229282616144,0
2410041,2411041,2412041,2.24642246742499,0
2412461,2413461,2414461,3.48882723439506,1
2440750,2441750,2442750,3.55797663631358,1
2443083,2444083,2445083,3.27786969248255,1
2494060,2495060,2496060,3.33903583703896,1
2511308,2512308,2513308,3.46124359029797,1
2515004,2516004,2517004,2.60198267763674,0
2531287,2532287,2533287,3.47233684118876,1
2547578,2548578,2549578,2.71465184145828,0
2554569,2555569,2556569,3.58152342915793,1
2559573,2560573,2561573,2.0987096291436,0
2635025,2636025,2637025,2.08574772660712,1
2635369,2636369,2637369,3.15356527981642,1
2642990,2643990,2644990,3.01234211906962,1
2649710,2650710,2651710,2.79797090024883,1
2672531,2673531,2674531,3.63721142147888,1
2681802,2682802,2683802,2.81029092570411,1
2696147,2697147,2698147,2.12026306664547,1
2711441,2712441,2713441,2.94736800302808,0
2780978,2781978,2782978,2.31790663217719,1
2803241,2804241,2805241,2.37375899095794,1
2815192,2816192,2817192,4.08526171321,1
2818702,2819702,2820702,3.08491923034499,0
2826672,2827672,2828672,3.15066359091028,1
2872124,2873124,2874124,3.5350683658399,0
2902279,2903279,2904279,4.03207373839273,1
2924704,2925704,2926704,3.03898076699354,1
2935887,2936887,2937887,1.89268660539627,1
2937915,2938915,2939915,2.80535758223797,1
2944157,2945157,2946157,2.26477926572621,0
2947192,2948192,2949192,2.41412508255196,0
2948454,2949454,2950454,2.51265112127224,0
2974951,2975951,2976951,3.28414187348765,0
2975008,2976008,2977008,3.26136130973517,0
2977347,2978347,2979347,2.19034581263982,1
2983739,2984739,2985739,2.34405133042072,0
3044937,3045937,3046937,2.93204822688055,0
3046806,3047806,3048806,2.32616858389484,1
3048475,3049475,3050475,3.37510203979697,1
3084533,3085533,3086533,2.62981147605085,1
3092274,3093274,3094274,3.95354698535943,0
3092454,3093454,3094454,2.95985594021874,1
3096172,3097172,3098172,3.82224044733014,1
3133888,3134888,3135888,3.37936363218345,0
3138824,3139824,3140824,2.83885541048276,1
3185106,3186106,3187106,2.14077886143062,0
3187762,3188762,3189762,3.0802636131928,1
3193053,3194053,3195053,2.87806805565677,1
3203708,3204708,3205708,3.48730703177905,0
3212427,3213427,3214427,2.92740369215075,0
3219430,3220430,3221430,3.67184179884583,1
3309239,3310239,3311239,2.25504658472447,1
3311097,3312097,3313097,3.47472328202176,1
3363175,3364175,3365175,4.01658710581623,0
3397387,3398387,3399387,2.17784211245476,1
3430050,3431050,3432050,2.10603531556205,1
3450220,3451220,3452220,4.30456400201468,1
3468096,3469096,3470096,2.37583910349709,0
3490273,3491273,3492273,3.85449646117739,1
3498514,3499514,3500514,3.29516569387276,1
3498693,3499693,3500693,2.20739615865971,0
3499009,3500009,3501009,2.96433887601374,1
3566989,3567989,3568989,4.07061042541344,1
3568231,3569231,3570231,4.29042562553829,1
3625368,3626368,3627368,2.22989134509351,0
3653831,3654831,3655831,2.07591225624205,0
3695130,3696130,3697130,2.3732090823445,1
3703933,3704933,3705933,3.51905088525126,1
3723133,3724133,3725133,3.96244686550702,1
3740202,3741202,3742202,3.00131613997974,0
3742800,3743800,3744800,3.1222691254109,0
3761436,3762436,3763436,2.19047655308723,1
3769213,3770213,3771213,2.80979288245788,0
3788026,3789026,3790026,2.55648042999787,0
3794905,3795905,3796905,3.6493583012867,1
3800900,3801900,3802900,2.45621490509064,1
3825449,3826449,3827449,3.12650867590049,1
3850453,3851453,3852453,2.78243872435902,1
3857872,3858872,3859872,3.34660838016349,1
3925637,3926637,3927637,2.8333281104521,1
3938644,3939644,3940644,1.94589843092425,1
3977333,3978333,3979333,4.3837093459925,1
4022745,4023745,4024745,2.59613258236759,0
4054275,4055275,4056275,3.34335097039412,1
4054984,4055984,4056984,2.53778414189538,1
4055129,4056129,4057129,2.96080215653111,0
4055215,4056215,4057215,2.23340944421088,0
4072053,4073053,4074053,3.83141480005036,0
4082568,4083568,4084568,2.02693137041637,0
4143465,4144465,4145465,2.89702326083809,1
4146022,4147022,4148022,2.82112453262086,1
4591619,4592619,4593619,3.3804289439068,1
4604471,4605471,4606471,3.07372298235377,1
4609075,4610075,4611075,2.34028624106679,0
4613071,4614071,4615071,2.6195760457252,0
4616497,4617497,4618497,2.5758237856044,1
4616601,4617601,4618601,2.05501882621593,0
4617532,4618532,4619532,3.44322537214962,1
4644803,4645803,4646803,2.54495083570289,0
4669418,4670418,4671418,3.37594137643102,0
4673694,4674694,4675694,2.91129788222898,0
4690908,4691908,4692908,3.04599303849395,1
4700416,4701416,4702416,4.37631196822511,1
4700517,4701517,4702517,4.04334003372803,0
4720346,4721346,4722346,3.78496045488343,1
4747950,4748950,4749950,2.28997935204713,1
4776167,4777167,4778167,2.87305638969078,1
4802018,4803018,4804018,2.38772304903254,0
4827268,4828268,4829268,2.88160950508973,1
4832785,4833785,4834785,2.83746608905178,1
4836795,4837795,4838795,2.35722228375624,1
4837384,4838384,4839384,3.21039304423186,1
4849626,4850626,4851626,2.19770530121243,1
4864527,4865527,4866527,4.26009469379032,0
4872118,4873118,4874118,2.22937785377292,1
4872645,4873645,4874645,2.13237140041723,1
4879446,4880446,4881446,2.78264360868678,1
4922197,4923197,4924197,3.64036023827144,0
4950080,4951080,4952080,3.21175824017167,1
4961124,4962124,4963124,3.10272961018321,1
4993061,4994061,4995061,4.00392907491188,0
4998636,4999636,5000636,3.65008283122525,0
5001749,5002749,5003749,3.53391221445687,1
5003113,5004113,5005113,3.86672093705396,0
5019210,5020210,5021210,4.09607012586233,1
5079888,5080888,5081888,4.07203435476318,1
5084633,5085633,5086633,3.87471055087863,1
5107152,5108152,5109152,3.84363501973715,1
5150336,5151336,5152336,4.29423396152155,1
5230372,5231372,5232372,4.35199301104936,1
5283056,5284056,5285056,3.98265417926162,1
5306474,5307474,5308474,4.29286979775476,0
5329931,5330931,5331931,3.1187380349319,1
5337781,5338781,5339781,2.64583411108345,0
5337956,5338956,5339956,3.62770645173521,0
5344390,5345390,5346390,3.54922904162272,1
5386936,5387936,5388936,2.58618468917391,1
5434579,5435579,5436579,2.19044992339503,1
5470037,5471037,5472037,2.11012309759523,1
5487072,5488072,5489072,2.63643264382395,1
5488152,5489152,5490152,2.55431821998684,0
5488299,5489299,5490299,4.16999496370948,1
5488439,5489439,5490439,3.22725395665476,0
5530299,5531299,5532299,3.15389432057113,1
5534198,5535198,5536198,2.37118167767975,1
5545097,5546097,5547097,2.27537800802401,0
5545240,5546240,5547240,4.29773053636935,0
5567507,5568507,5569507,2.81465794013464,1
5663537,5664537,5665537,2.37659038775322,1
5709907,5710907,5711907,3.22517561355363,0
5742471,5743471,5744471,2.32547561873108,1
5749973,5750973,5751973,2.14470695005366,1
5750212,5751212,5752212,3.21855836143951,0
5753680,5754680,5755680,2.86888306336641,0
5753750,5754750,5755750,3.47799228507045,0
5759817,5760817,5761817,2.76660665438718,1
5769044,5770044,5771044,2.00124407925484,1
5981365,5982365,5983365,3.17729950130319,1
5996867,5997867,5998867,2.45817066248774,1
6168573,6169573,6170573,3.76286246696786,0
6170011,6171011,6172011,3.4949237050413,0
6170137,6171137,6172137,4.21573030637277,1
6173179,6174179,6175179,4.37224656666086,1
6196110,6197110,6198110,2.68068616764458,1
6198756,6199756,6200756,3.14776030574935,0
6206104,6207104,6208104,2.65568198212639,0
6219201,6220201,6221201,2.62549400885106,1
6219404,6220404,6221404,3.81576029897321,1
6288104,6289104,6290104,4.26817586311152,1
6316009,6317009,6318009,4.00002691030888,1
6320125,6321125,6322125,4.20370300333058,1
6448585,6449585,6450585,2.81031284119909,1
6563033,6564033,6565033,2.25101904110943,1
6612076,6613076,6614076,3.57354250089035,0
6726641,6727641,6728641,2.46987175769101,1
6740567,6741567,6742567,2.46470829159314,1
